idx,x_mm,y_mm,z_mm,dwell_s,status,file,note
0,0.0,0.0,0.0,20.0,ok,points/pt_000000.npz,
1,125.0,0.0,0.0,20.0,ok,points/pt_000001.npz,
2,250.0,0.0,0.0,20.0,ok,points/pt_000002.npz,
3,375.0,0.0,0.0,20.0,ok,points/pt_000003.npz,
4,500.0,0.0,0.0,20.0,ok,points/pt_000004.npz,
5,500.0,125.0,0.0,20.0,ok,points/pt_000005.npz,
6,375.0,125.0,0.0,20.0,ok,points/pt_000006.npz,
7,250.0,125.0,0.0,20.0,ok,points/pt_000007.npz,
8,125.0,125.0,0.0,20.0,ok,points/pt_000008.npz,
9,0.0,125.0,0.0,20.0,ok,points/pt_000009.npz,
10,0.0,250.0,0.0,20.0,ok,points/pt_000010.npz,
11,125.0,250.0,0.0,20.0,ok,points/pt_000011.npz,
12,250.0,250.0,0.0,20.0,ok,points/pt_000012.npz,
13,375.0,250.0,0.0,20.0,ok,points/pt_000013.npz,
14,500.0,250.0,0.0,20.0,ok,points/pt_000014.npz,
15,500.0,375.0,0.0,20.0,ok,points/pt_000015.npz,
16,375.0,375.0,0.0,20.0,ok,points/pt_000016.npz,
17,250.0,375.0,0.0,20.0,ok,points/pt_000017.npz,
18,125.0,375.0,0.0,20.0,ok,points/pt_000018.npz,
19,0.0,375.0,0.0,20.0,ok,points/pt_000019.npz,
20,0.0,500.0,0.0,20.0,ok,points/pt_000020.npz,
21,125.0,500.0,0.0,20.0,ok,points/pt_000021.npz,
22,250.0,500.0,0.0,20.0,ok,points/pt_000022.npz,
23,375.0,500.0,0.0,20.0,ok,points/pt_000023.npz,
24,500.0,500.0,0.0,20.0,ok,points/pt_000024.npz,
25,0.0,500.0,150.0,20.0,ok,points/pt_000025.npz,
26,125.0,500.0,150.0,20.0,ok,points/pt_000026.npz,
27,250.0,500.0,150.0,20.0,ok,points/pt_000027.npz,
28,375.0,500.0,150.0,20.0,ok,points/pt_000028.npz,
29,500.0,500.0,150.0,20.0,ok,points/pt_000029.npz,
30,500.0,375.0,150.0,20.0,ok,points/pt_000030.npz,
31,375.0,375.0,150.0,20.0,ok,points/pt_000031.npz,
32,250.0,375.0,150.0,20.0,ok,points/pt_000032.npz,
33,125.0,375.0,150.0,20.0,ok,points/pt_000033.npz,
34,0.0,375.0,150.0,20.0,ok,points/pt_000034.npz,
35,0.0,250.0,150.0,20.0,ok,points/pt_000035.npz,
36,125.0,250.0,150.0,20.0,ok,points/pt_000036.npz,
37,250.0,250.0,150.0,20.0,ok,points/pt_000037.npz,
38,375.0,250.0,150.0,20.0,ok,points/pt_000038.npz,
39,500.0,250.0,150.0,20.0,ok,points/pt_000039.npz,
40,500.0,125.0,150.0,20.0,ok,points/pt_000040.npz,
41,375.0,125.0,150.0,20.0,ok,points/pt_000041.npz,
42,250.0,125.0,150.0,20.0,ok,points/pt_000042.npz,
43,125.0,125.0,150.0,20.0,ok,points/pt_000043.npz,
44,0.0,125.0,150.0,20.0,ok,points/pt_000044.npz,
45,0.0,0.0,150.0,20.0,ok,points/pt_000045.npz,
46,125.0,0.0,150.0,20.0,ok,points/pt_000046.npz,
47,250.0,0.0,150.0,20.0,ok,points/pt_000047.npz,
48,375.0,0.0,150.0,20.0,ok,points/pt_000048.npz,
49,500.0,0.0,150.0,20.0,ok,points/pt_000049.npz,
50,0.0,0.0,300.0,20.0,ok,points/pt_000050.npz,
51,125.0,0.0,300.0,20.0,ok,points/pt_000051.npz,
52,250.0,0.0,300.0,20.0,ok,points/pt_000052.npz,
53,375.0,0.0,300.0,20.0,ok,points/pt_000053.npz,
54,500.0,0.0,300.0,20.0,ok,points/pt_000054.npz,
55,500.0,125.0,300.0,20.0,ok,points/pt_000055.npz,
56,375.0,125.0,300.0,20.0,ok,points/pt_000056.npz,
57,250.0,125.0,300.0,20.0,ok,points/pt_000057.npz,
58,125.0,125.0,300.0,20.0,ok,points/pt_000058.npz,
59,0.0,125.0,300.0,20.0,ok,points/pt_000059.npz,
60,0.0,250.0,300.0,20.0,ok,points/pt_000060.npz,
61,125.0,250.0,300.0,20.0,ok,points/pt_000061.npz,
62,250.0,250.0,300.0,20.0,ok,points/pt_000062.npz,
63,375.0,250.0,300.0,20.0,ok,points/pt_000063.npz,
64,500.0,250.0,300.0,20.0,ok,points/pt_000064.npz,
65,500.0,375.0,300.0,20.0,ok,points/pt_000065.npz,
66,375.0,375.0,300.0,20.0,ok,points/pt_000066.npz,
67,250.0,375.0,300.0,20.0,ok,points/pt_000067.npz,
68,125.0,375.0,300.0,20.0,ok,points/pt_000068.npz,
69,0.0,375.0,300.0,20.0,ok,points/pt_000069.npz,
70,0.0,500.0,300.0,20.0,ok,points/pt_000070.npz,
71,125.0,500.0,300.0,20.0,ok,points/pt_000071.npz,
72,250.0,500.0,300.0,20.0,ok,points/pt_000072.npz,
73,375.0,500.0,300.0,20.0,ok,points/pt_000073.npz,
74,500.0,500.0,300.0,20.0,ok,points/pt_000074.npz,
