idx,x_mm,y_mm,z_mm,dwell_s,status,file,note
0,-400.0,-400.0,-200.0,3.0,ok,points/pt_000000.npz,
1,-200.0,-400.0,-200.0,3.0,ok,points/pt_000001.npz,
2,0.0,-400.0,-200.0,3.0,ok,points/pt_000002.npz,
3,200.0,-400.0,-200.0,3.0,ok,points/pt_000003.npz,
4,400.0,-400.0,-200.0,3.0,ok,points/pt_000004.npz,
5,400.0,-200.0,-200.0,3.0,ok,points/pt_000005.npz,
6,200.0,-200.0,-200.0,3.0,ok,points/pt_000006.npz,
7,0.0,-200.0,-200.0,3.0,ok,points/pt_000007.npz,
8,-200.0,-200.0,-200.0,3.0,ok,points/pt_000008.npz,
9,-400.0,-200.0,-200.0,3.0,ok,points/pt_000009.npz,
10,-400.0,0.0,-200.0,3.0,ok,points/pt_000010.npz,
11,-200.0,0.0,-200.0,3.0,ok,points/pt_000011.npz,
12,0.0,0.0,-200.0,3.0,ok,points/pt_000012.npz,
13,200.0,0.0,-200.0,3.0,ok,points/pt_000013.npz,
14,400.0,0.0,-200.0,3.0,ok,points/pt_000014.npz,
15,400.0,200.0,-200.0,3.0,ok,points/pt_000015.npz,
16,200.0,200.0,-200.0,3.0,ok,points/pt_000016.npz,
17,0.0,200.0,-200.0,3.0,ok,points/pt_000017.npz,
18,-200.0,200.0,-200.0,3.0,ok,points/pt_000018.npz,
19,-400.0,200.0,-200.0,3.0,ok,points/pt_000019.npz,
20,-400.0,400.0,-200.0,3.0,ok,points/pt_000020.npz,
21,-200.0,400.0,-200.0,3.0,ok,points/pt_000021.npz,
22,0.0,400.0,-200.0,3.0,ok,points/pt_000022.npz,
23,200.0,400.0,-200.0,3.0,ok,points/pt_000023.npz,
24,400.0,400.0,-200.0,3.0,ok,points/pt_000024.npz,
25,-400.0,400.0,0.0,3.0,ok,points/pt_000025.npz,
26,-200.0,400.0,0.0,3.0,ok,points/pt_000026.npz,
27,0.0,400.0,0.0,3.0,ok,points/pt_000027.npz,
28,200.0,400.0,0.0,3.0,ok,points/pt_000028.npz,
29,400.0,400.0,0.0,3.0,ok,points/pt_000029.npz,
30,400.0,200.0,0.0,3.0,ok,points/pt_000030.npz,
31,200.0,200.0,0.0,3.0,ok,points/pt_000031.npz,
32,0.0,200.0,0.0,3.0,ok,points/pt_000032.npz,
33,-200.0,200.0,0.0,3.0,ok,points/pt_000033.npz,
34,-400.0,200.0,0.0,3.0,error,points/pt_000034.npz,endstop: Endschalter ausgelöst!
35,-400.0,0.0,0.0,3.0,ok,points/pt_000035.npz,
36,-200.0,0.0,0.0,3.0,ok,points/pt_000036.npz,
37,0.0,0.0,0.0,3.0,ok,points/pt_000037.npz,
38,200.0,0.0,0.0,3.0,ok,points/pt_000038.npz,
39,400.0,0.0,0.0,3.0,ok,points/pt_000039.npz,
40,400.0,-200.0,0.0,3.0,ok,points/pt_000040.npz,
41,200.0,-200.0,0.0,3.0,ok,points/pt_000041.npz,
42,0.0,-200.0,0.0,3.0,ok,points/pt_000042.npz,
43,-200.0,-200.0,0.0,3.0,ok,points/pt_000043.npz,
44,-400.0,-200.0,0.0,3.0,error,points/pt_000044.npz,endstop: Endschalter ausgelöst!
45,-400.0,-400.0,0.0,3.0,ok,points/pt_000045.npz,
46,-200.0,-400.0,0.0,3.0,ok,points/pt_000046.npz,
47,0.0,-400.0,0.0,3.0,ok,points/pt_000047.npz,
48,200.0,-400.0,0.0,3.0,ok,points/pt_000048.npz,
49,400.0,-400.0,0.0,3.0,ok,points/pt_000049.npz,
50,-400.0,-400.0,200.0,3.0,error,points/pt_000050.npz,endstop: Endschalter ausgelöst!
51,-200.0,-400.0,200.0,3.0,ok,points/pt_000051.npz,
52,0.0,-400.0,200.0,3.0,ok,points/pt_000052.npz,
53,200.0,-400.0,200.0,3.0,ok,points/pt_000053.npz,
54,400.0,-400.0,200.0,3.0,ok,points/pt_000054.npz,
55,400.0,-200.0,200.0,3.0,ok,points/pt_000055.npz,
56,200.0,-200.0,200.0,3.0,ok,points/pt_000056.npz,
57,0.0,-200.0,200.0,3.0,ok,points/pt_000057.npz,
58,-200.0,-200.0,200.0,3.0,ok,points/pt_000058.npz,
59,-400.0,-200.0,200.0,3.0,ok,points/pt_000059.npz,
60,-400.0,0.0,200.0,3.0,ok,points/pt_000060.npz,
61,-200.0,0.0,200.0,3.0,ok,points/pt_000061.npz,
62,0.0,0.0,200.0,3.0,ok,points/pt_000062.npz,
63,200.0,0.0,200.0,3.0,ok,points/pt_000063.npz,
64,400.0,0.0,200.0,3.0,ok,points/pt_000064.npz,
65,400.0,200.0,200.0,3.0,ok,points/pt_000065.npz,
66,200.0,200.0,200.0,3.0,ok,points/pt_000066.npz,
67,0.0,200.0,200.0,3.0,ok,points/pt_000067.npz,
68,-200.0,200.0,200.0,3.0,ok,points/pt_000068.npz,
69,-400.0,200.0,200.0,3.0,ok,points/pt_000069.npz,
70,-400.0,400.0,200.0,3.0,ok,points/pt_000070.npz,
71,-200.0,400.0,200.0,3.0,ok,points/pt_000071.npz,
72,0.0,400.0,200.0,3.0,ok,points/pt_000072.npz,
73,200.0,400.0,200.0,3.0,ok,points/pt_000073.npz,
74,400.0,400.0,200.0,3.0,ok,points/pt_000074.npz,
